HumanoidCount,Class,Injured,Gender,Item,Filename
"1","Default","False","Female","Staff","consolidated_dataset/test_00078.png"
"1","Zombie","False","Male","Hammer","consolidated_dataset/test_00079.png"
"1","Zombie","True","Female","Hammer","consolidated_dataset/test_00080.png"
"1","Default","False","Female","Staff","consolidated_dataset/test_00081.png"
"1","Zombie","False","Female","Staff","consolidated_dataset/test_00082.png"
"1","Default","False","Male","Bow","consolidated_dataset/test_00083.png"
"1","Default","False","Male","Bow","consolidated_dataset/test_00084.png"
"1","Default","False","Female","None","consolidated_dataset/test_00085.png"
"1","Zombie","False","Male","Staff","consolidated_dataset/test_00086.png"
"1","Zombie","False","Female","None","consolidated_dataset/test_00087.png"
"1","Zombie","False","Male","None","consolidated_dataset/test_00088.png"
"1","Zombie","False","Male","Staff","consolidated_dataset/test_00089.png"
"1","Default","True","Male","Bow","consolidated_dataset/test_00090.png"
"1","Zombie","False","Male","None","consolidated_dataset/test_00091.png"
"1","Zombie","True","Male","None","consolidated_dataset/test_00092.png"
"1","Zombie","False","Male","Hammer","consolidated_dataset/test_00093.png"
"1","Default","False","Female","None","consolidated_dataset/test_00094.png"
"1","Zombie","True","Female","Hammer","consolidated_dataset/test_00095.png"
"1","Default","False","Female","Staff","consolidated_dataset/test_00096.png"
"1","Zombie","True","Female","Bow","consolidated_dataset/test_00097.png"
"1","Default","False","Female","None","consolidated_dataset/test_00098.png"
"1","Zombie","True","Female","None","consolidated_dataset/test_00099.png"
"1","Default","False","Female","Staff","consolidated_dataset/test_00100.png"
"1","Zombie","True","Male","Hammer","consolidated_dataset/test_00101.png"
"1","Default","False","Female","Hammer","consolidated_dataset/test_00102.png"
"1","Zombie","False","Male","Bow","consolidated_dataset/test_00103.png"
"1","Default","False","Female","None","consolidated_dataset/test_00104.png"
"1","Zombie","False","Female","None","consolidated_dataset/test_00105.png"
"1","Zombie","True","Female","None","consolidated_dataset/test_00106.png"
"1","Default","True","Male","None","consolidated_dataset/test_00107.png"
"1","Zombie","False","Female","None","consolidated_dataset/test_00108.png"
"1","Default","False","Female","Bow","consolidated_dataset/test_00109.png"
"1","Zombie","True","Female","None","consolidated_dataset/test_00110.png"
"1","Default","False","Male","Bow","consolidated_dataset/test_00111.png"
"1","Zombie","False","Female","Hammer","consolidated_dataset/test_00112.png"
"1","Zombie","False","Male","Hammer","consolidated_dataset/test_00113.png"
"1","Default","False","Male","None","consolidated_dataset/test_00114.png"
"1","Default","False","Female","None","consolidated_dataset/test_00115.png"
"1","Zombie","False","Male","Staff","consolidated_dataset/test_00116.png"
"1","Default","True","Male","Bow","consolidated_dataset/test_00117.png"
"1","Default","True","Female","Bow","consolidated_dataset/test_00118.png"
"1","Default","False","Male","None","consolidated_dataset/test_00119.png"
"1","Default","False","Male","None","consolidated_dataset/test_00120.png"
"1","Zombie","False","Male","None","consolidated_dataset/test_00121.png"
"1","Zombie","True","Female","Hammer","consolidated_dataset/test_00122.png"
"1","Default","False","Female","None","consolidated_dataset/test_00123.png"
"1","Default","True","Female","Bow","consolidated_dataset/test_00124.png"
"1","Default","False","Male","Bow","consolidated_dataset/test_00125.png"
"1","Default","False","Male","Bow","consolidated_dataset/test_00126.png"
"1","Default","True","Female","None","consolidated_dataset/test_00127.png"
"1","Default","True","Male","None","consolidated_dataset/test_00128.png"
"1","Default","False","Female","Staff","consolidated_dataset/test_00129.png"
"1","Default","False","Male","Staff","consolidated_dataset/test_00130.png"
"1","Default","True","Male","None","consolidated_dataset/test_00131.png"
"1","Default","False","Female","Staff","consolidated_dataset/test_00132.png"
"1","Zombie","True","Male","None","consolidated_dataset/test_00133.png"
"1","Default","True","Female","Staff","consolidated_dataset/test_00134.png"
"1","Default","True","Female","None","consolidated_dataset/test_00135.png"
"1","Default","False","Male","Hammer","consolidated_dataset/test_00136.png"
"1","Zombie","False","Male","None","consolidated_dataset/test_00137.png"
"1","Zombie","False","Female","Staff","consolidated_dataset/test_00138.png"
"1","Default","True","Female","Bow","consolidated_dataset/test_00139.png"
"1","Zombie","True","Female","None","consolidated_dataset/test_00140.png"
"1","Default","False","Male","Hammer","consolidated_dataset/test_00141.png"
"1","Zombie","True","Male","None","consolidated_dataset/test_00142.png"
"1","Default","False","Male","Staff","consolidated_dataset/test_00143.png"
"1","Zombie","False","Male","None","consolidated_dataset/test_00144.png"
"1","Zombie","True","Male","None","consolidated_dataset/test_00145.png"
"1","Zombie","True","Male","Bow","consolidated_dataset/test_00146.png"
"1","Default","True","Male","Bow","consolidated_dataset/test_00147.png"
"1","Default","False","Female","Hammer","consolidated_dataset/test_00148.png"
"1","Zombie","False","Male","Hammer","consolidated_dataset/test_00149.png"
"1","Default","False","Male","None","consolidated_dataset/test_00150.png"
"1","Default","False","Male","None","consolidated_dataset/test_00151.png"
"1","Zombie","True","Female","Hammer","consolidated_dataset/test_00152.png"
"1","Default","False","Male","Hammer","consolidated_dataset/test_00153.png"
"1","Default","False","Male","None","consolidated_dataset/test_00154.png"
"1","Default","False","Male","None","consolidated_dataset/test_00155.png"
"1","Zombie","False","Male","None","consolidated_dataset/test_00156.png"
"1","Zombie","False","Male","None","consolidated_dataset/test_00157.png"
"1","Default","False","Male","None","consolidated_dataset/test_00158.png"
"1","Zombie","True","Male","None","consolidated_dataset/test_00159.png"
"1","Default","False","Male","None","consolidated_dataset/test_00160.png"
"1","Zombie","False","Male","None","consolidated_dataset/test_00161.png"
"1","Default","True","Male","Staff","consolidated_dataset/test_00162.png"
"1","Default","False","Female","None","consolidated_dataset/test_00163.png"
"1","Zombie","False","Male","None","consolidated_dataset/test_00164.png"
"1","Default","False","Male","Staff","consolidated_dataset/test_00165.png"
"1","Zombie","True","Female","None","consolidated_dataset/test_00166.png"
"1","Zombie","False","Male","Hammer","consolidated_dataset/test_00167.png"
"1","Zombie","True","Male","Hammer","consolidated_dataset/test_00168.png"
"1","Default","True","Male","Bow","consolidated_dataset/test_00169.png"
"1","Zombie","False","Male","None","consolidated_dataset/test_00170.png"
"1","Default","False","Male","Hammer","consolidated_dataset/test_00171.png"
"1","Default","False","Female","Bow","consolidated_dataset/test_00172.png"
"1","Zombie","True","Male","None","consolidated_dataset/test_00173.png"
"1","Default","True","Female","None","consolidated_dataset/test_00174.png"
"1","Zombie","True","Female","None","consolidated_dataset/test_00175.png"
"1","Default","True","Female","Staff","consolidated_dataset/test_00176.png"
"1","Zombie","False","Male","None","consolidated_dataset/test_00177.png"
"1","Default","False","Male","None","consolidated_dataset/test_00178.png"
"1","Zombie","False","Female","Bow","consolidated_dataset/test_00179.png"
"1","Zombie","True","Male","Hammer","consolidated_dataset/test_00180.png"
"1","Zombie","False","Female","None","consolidated_dataset/test_00181.png"
"1","Default","False","Male","None","consolidated_dataset/test_00182.png"
"1","Default","True","Male","None","consolidated_dataset/test_00183.png"
"1","Default","True","Female","None","consolidated_dataset/test_00184.png"
"1","Default","False","Male","Hammer","consolidated_dataset/test_00185.png"
"1","Default","False","Female","Hammer","consolidated_dataset/test_00186.png"
"1","Default","False","Female","None","consolidated_dataset/test_00187.png"
"1","Default","True","Male","None","consolidated_dataset/test_00188.png"
"1","Default","False","Female","None","consolidated_dataset/test_00189.png"
"1","Default","True","Male","Staff","consolidated_dataset/test_00190.png"
"1","Default","False","Male","Hammer","consolidated_dataset/test_00191.png"
"1","Zombie","False","Female","None","consolidated_dataset/test_00192.png"
"1","Default","False","Male","Hammer","consolidated_dataset/test_00193.png"
"1","Default","False","Female","None","consolidated_dataset/test_00194.png"
"1","Zombie","False","Male","Staff","consolidated_dataset/test_00195.png"
"1","Default","False","Male","Hammer","consolidated_dataset/test_00196.png"
"1","Zombie","False","Female","None","consolidated_dataset/test_00197.png"
"1","Zombie","True","Male","None","consolidated_dataset/test_00198.png"
"1","Zombie","False","Female","None","consolidated_dataset/test_00199.png"
